time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-19 00:00:00+00:00,1,1,102,17
2023-03-20 00:00:00+00:00,2,2,87,14
2023-03-21 00:00:00+00:00,3,3,125,17
2023-03-22 00:00:00+00:00,9,6,126,18
2023-03-23 00:00:00+00:00,1,1,175,19
2023-03-24 00:00:00+00:00,3,3,54,8
2023-03-25 00:00:00+00:00,1,1,80,15
2023-03-26 00:00:00+00:00,3,3,170,14
2023-03-27 00:00:00+00:00,3,3,30,8
2023-03-28 00:00:00+00:00,2,2,16,7
2023-03-29 00:00:00+00:00,5,5,98,17
2023-03-30 00:00:00+00:00,2,2,50,17
2023-03-31 00:00:00+00:00,2,2,35,10
2023-04-01 00:00:00+00:00,1,1,95,9
2023-04-02 00:00:00+00:00,3,2,32,8
2023-04-03 00:00:00+00:00,2,2,76,12
2023-04-04 00:00:00+00:00,6,3,63,7
2023-04-05 00:00:00+00:00,4,4,86,17
2023-04-06 00:00:00+00:00,3,3,95,21
2023-04-07 00:00:00+00:00,2,2,107,16
2023-04-08 00:00:00+00:00,2,2,112,18
2023-04-09 00:00:00+00:00,2,2,134,17
2023-04-10 00:00:00+00:00,2,2,101,16
2023-04-11 00:00:00+00:00,4,4,170,22
2023-04-12 00:00:00+00:00,3,3,54,9
2023-04-13 00:00:00+00:00,2,2,109,14
2023-04-14 00:00:00+00:00,3,3,52,13
2023-04-15 00:00:00+00:00,4,3,133,14
2023-04-16 00:00:00+00:00,1,1,36,15
2023-04-17 00:00:00+00:00,2,2,74,5
2023-04-18 00:00:00+00:00,1,1,23,6
2023-04-19 00:00:00+00:00,3,2,33,8
2023-04-20 00:00:00+00:00,3,2,49,10
2023-04-21 00:00:00+00:00,4,3,36,4
2023-04-22 00:00:00+00:00,3,2,62,8
2023-04-23 00:00:00+00:00,4,3,96,11
2023-04-24 00:00:00+00:00,6,5,157,16
2023-04-25 00:00:00+00:00,3,2,88,10
2023-04-26 00:00:00+00:00,3,2,66,8
2023-04-27 00:00:00+00:00,4,3,109,9
2023-04-28 00:00:00+00:00,3,2,139,17
2023-04-29 00:00:00+00:00,5,4,171,15
2023-04-30 00:00:00+00:00,6,5,254,21
2023-05-01 00:00:00+00:00,7,6,89,14
2023-05-02 00:00:00+00:00,4,3,88,9
2023-05-03 00:00:00+00:00,4,3,52,11
2023-05-04 00:00:00+00:00,5,3,111,12
2023-05-05 00:00:00+00:00,4,3,50,12
2023-05-06 00:00:00+00:00,4,3,73,14
2023-05-07 00:00:00+00:00,3,2,143,6
2023-05-08 00:00:00+00:00,4,3,55,10
2023-05-09 00:00:00+00:00,4,3,191,14
2023-05-10 00:00:00+00:00,4,3,68,15
2023-05-11 00:00:00+00:00,4,3,310,22
2023-05-12 00:00:00+00:00,5,4,39,9
2023-05-13 00:00:00+00:00,3,2,86,9
2023-05-14 00:00:00+00:00,3,2,85,17
2023-05-15 00:00:00+00:00,3,3,113,8
2023-05-16 00:00:00+00:00,3,2,27,6
2023-05-17 00:00:00+00:00,3,2,60,6
2023-05-18 00:00:00+00:00,4,3,56,14
2023-05-19 00:00:00+00:00,3,2,53,10
2023-05-20 00:00:00+00:00,4,3,85,16
2023-05-21 00:00:00+00:00,5,3,56,7
2023-05-22 00:00:00+00:00,4,3,106,13
2023-05-23 00:00:00+00:00,6,5,38,8
